x;y;y_zwei
548;1209200;1571960
549;1237101;1608231.3
550;1234901;1605371.3
551;1358701;1766311.3
552;1319399;1715218.7
553;1326000;1723800
554;1347500;1751750
555;1236201;1607061.3
556;1228900;1597570
557;1246800;1620840
558;1239300;1611090
559;1238000;1609400
560;1640299;2132388.7
561;1321999;1718598.7
562;1437899;1869268.7
563;1232299;1601988.7
564;1329500;1728350
565;1254999;1631498.7
566;1494301;1942591.3
567;1264401;1643721.3
568;1319899;1715868.7
569;1348800;1753440
570;1537099;1998228.7
571;1275199;1657758.7
572;1421400;1847820
573;1313900;1708070
574;1439900;1871870
575;1256001;1632801.3
576;1324201;1721461.3
577;1338000;1739400
578;1362900;1771770
579;1363201;1772161.3
580;1262200;1640860
581;1290400;1677520
582;1360700;1768910
583;1290799;1678038.7
584;1422000;1848600
585;1311100;1704430
586;1520400;1976520
587;1535999;1996798.7
588;1270700;1651910
589;1904900;2476370
590;1412899;1836768.7
591;1403800;1824940
592;1391200;1808560
593;1689400;2196220
594;1415099;1839628.7
595;1398201;1817661.3
596;1544900;2008370
597;1372499;1784248.7
598;1401001;1821301.3
599;1375100;1787630
600;1509501;1962351.3
601;1382099;1796728.7
602;1832600;2382380
603;1565900;2035670
604;1428400;1856920
605;1566799;2036838.7
606;1393300;1811290
607;1435200;1865760
608;1520800;1977040
609;1456799;1893838.7
610;1419401;1845221.3
611;1570000;2041000
612;1517900;1973270
613;1505399;1957018.7
614;1438300;1869790
615;1763700;2292810
616;1471700;1913210
617;1440600;1872780
618;1581100;2055430
619;1609999;2092998.7
620;1606200;2088060
621;3386800;4402840
622;1453501;1889551.3
623;1387300;1803490
624;1477400;1920620
625;1421900;1848470
626;1406400;1828320
627;1363000;1771900
628;1546699;2010708.7
629;1450100;1885130
630;1385899;1801668.7
631;1448699;1883308.7
632;1378100;1791530
633;1476799;1919838.7
634;1444800;1878240
635;1851300;2406690
636;1403101;1824031.3
637;1640200;2132260
638;1400400;1820520
639;1451200;1886560
640;1555500;2022150
641;1401399;1821818.7
642;1451601;1887081.3
643;1417100;1842230
644;1644299;2137588.7
645;1395499;1814148.7
646;1439100;1870830
647;1506800;1958840
648;1436900;1867970
649;1424400;1851720
650;1425201;1852761.3
651;1431100;1860430
652;1511099;1964428.7
653;1519900;1975870
654;1586301;2062191.3
655;1528000;1986400
656;1534399;1994718.7
657;1463100;1902030
658;1501400;1951820
659;1481700;1926210
660;1444000;1877200
661;1446501;1880451.3
662;1468199;1908658.7
663;1660700;2158910
664;1467901;1908271.3
665;1554401;2020721.3
666;1452200;1887860
667;1496800;1945840
668;1510800;1964040
669;2157700;2805010
670;1462800;1901640
671;1526100;1983930
672;1652601;2148381.3
673;1467400;1907620
674;1502600;1953380
675;1463501;1902551.3
676;1537800;1999140
677;1503801;1954941.3
678;1496100;1944930
679;1603800;2084940
680;1530601;1989781.3
681;1492700;1940510
682;1557000;2024100
683;1505399;1957018.7
684;1527700;1986010
685;1505400;1957020
686;1495801;1944541.3
687;1600799;2081038.7
688;1669900;2170870
689;1521200;1977560
690;1617800;2103140
691;1511399;1964818.7
692;1696500;2205450
693;1570700;2041910
694;1509300;1962090
695;1646801;2140841.3
696;1534500;1994850
697;2098500;2728050
698;1561300;2029690
699;1620401;2106521.3
700;1538200;1999660
701;1636399;2127318.7
702;1563501;2032551.3
703;1587400;2063620
704;1703999;2215198.7
705;1541600;2004080
706;1652901;2148771.3
707;1745600;2269280
708;1546801;2010841.3
709;1603000;2083900
710;1544300;2007590
711;1570000;2041000
712;1747600;2271880
713;1570800;2042040
714;1540600;2002780
715;1565101;2034631.3
716;1578100;2051530
717;2129400;2768220
718;3204900;4166370
719;1700000;2210000
720;1725501;2243151.3
721;1615001;2099501.3
722;1819801;2365741.3
723;1680501;2184651.3
724;1621700;2108210
725;1588700;2065310
726;1775201;2307761.3
727;1591000;2068300
728;1749900;2274870
729;1705799;2217538.7
730;2011000;2614300
731;1600800;2081040
732;1974701;2567111.3
733;1601300;2081690
734;1616200;2101060
735;1678000;2181400
736;1654500;2150850
737;1642900;2135770
738;1628600;2117180
739;1616200;2101060
740;1740700;2262910
741;1650600;2145780
742;1625300;2112890
743;1676499;2179448.7
744;1731500;2250950
745;1897300;2466490
746;1683900;2189070
747;1728901;2247571.3
748;1768100;2298530
749;1670800;2172040
750;1713599;2227678.7
751;1745000;2268500
752;1975199;2567758.7
753;1735900;2256670
754;2011500;2614950
755;1760700;2288910
756;1748700;2273310
757;2281200;2965560
758;1771599;2303078.7
759;1755400;2282020
760;1853501;2409551.3
761;1754300;2280590
762;1769100;2299830
763;1815000;2359500
764;1773199;2305158.7
765;1813301;2357291.3
766;1722400;2239120
767;1777400;2310620
768;1745600;2269280
769;1688799;2195438.7
770;1701400;2211820
771;1775101;2307631.3
772;1872000;2433600
773;1738499;2260048.7
